date,hospital_id,ward_code,wait_per_triage,age,bed_impact_score,arrival_source_ambulance,arrival_source_referral,arrival_source_self,arrival_source_transfer,outcome_death,outcome_discharged,outcome_readmit_30d,outcome_transferred,sex_F,sex_M,base_beds,effective_capacity,admissions,staffing_index,discharge_rate_per_bed,occupancy_lag1,occupancy_lag7,overflow_lag1,overflow_lag7,discharges_lag1,discharges_lag7,admission_rate_per_bed_lag1,admission_rate_per_bed_lag7,avg_wait_minutes_lag1,avg_wait_minutes_lag7,occupancy_rate_lag1,occupancy_rate_lag7
2023-08-19,4,ED,63.78333333333333,55.416666666666664,0.0,4,2,6,0,0,11,0,1,6,6,30,34,33,0.907,1.133,34.0,34.0,33.0,31.0,32.0,31.0,2.033,1.933,270.0,279.0,1.0,1.0
2023-08-19,4,ICU,75.0,46.25,,3,2,3,0,1,7,0,0,5,3,20,23,9,0.996,0.25,23.0,21.0,12.0,1.0,5.0,7.0,0.7,0.25,197.0,139.0,1.0,0.913
2023-08-19,4,MED,75.0,54.875,,1,2,4,1,0,8,0,0,6,2,50,58,34,0.905,0.32,58.0,58.0,17.0,25.0,14.0,17.0,0.46,0.68,103.0,216.0,1.0,1.0
2023-08-19,4,SURG,75.0,62.25,,3,0,5,0,0,7,1,0,4,4,40,46,15,0.865,0.3,46.0,40.0,17.0,0.0,14.0,10.0,0.7,0.3,259.0,42.0,1.0,1.0
2023-08-19,5,ED,93.53611111111111,57.166666666666664,0.0,3,4,4,1,0,10,0,2,6,6,30,34,70,0.935,1.067,34.0,34.0,24.0,21.0,32.0,26.0,1.733,1.433,212.0,220.0,1.0,1.0
2023-08-19,5,ICU,75.0,52.857142857142854,,1,0,6,0,0,7,0,0,4,3,20,23,7,0.895,0.1,23.0,22.0,6.0,2.0,9.0,5.0,0.6,0.4,147.0,121.0,1.0,0.957
2023-08-19,5,MED,75.0,55.375,,4,1,3,0,0,7,1,0,5,3,50,58,26,0.947,0.5,58.0,58.0,26.0,10.0,21.0,22.0,0.78,0.48,169.0,144.0,1.0,1.0
2023-08-19,5,SURG,75.0,60.625,,2,2,3,1,0,8,0,0,1,7,40,46,19,0.933,0.4,46.0,46.0,10.0,9.0,15.0,20.0,0.475,0.575,131.0,123.0,1.0,1.0
2023-08-20,1,ED,52.44444444444445,49.75,0.0,2,3,7,0,0,10,0,2,4,8,30,34,38,0.884,1.133,34.0,34.0,30.0,12.0,34.0,31.0,2.0,1.3,244.0,145.0,1.0,1.0
2023-08-20,1,ICU,75.0,51.625,,0,3,4,1,0,8,0,0,4,4,20,23,10,0.871,0.3,22.0,23.0,2.0,4.0,8.0,7.0,0.35,0.4,127.0,200.0,0.957,1.0
2023-08-20,1,MED,75.0,62.875,,2,1,3,2,0,8,0,0,4,4,50,58,35,0.952,0.32,58.0,58.0,29.0,17.0,29.0,14.0,1.0,0.46,153.0,217.0,1.0,1.0
2023-08-20,1,SURG,75.0,46.25,,1,1,6,0,0,8,0,0,4,4,40,46,31,0.913,0.45,46.0,45.0,18.0,5.0,13.0,21.0,0.675,0.5,190.0,161.0,1.0,0.978
2023-08-20,2,ED,79.1388888888889,57.666666666666664,0.0,2,1,9,0,0,11,0,1,3,9,30,34,63,0.938,1.1,34.0,34.0,35.0,47.0,31.0,33.0,2.067,2.533,370.0,355.0,1.0,1.0
2023-08-20,2,ICU,75.0,50.75,,1,2,4,1,1,7,0,0,2,6,20,23,13,0.958,0.3,23.0,23.0,5.0,3.0,5.0,6.0,0.35,0.45,137.0,145.0,1.0,1.0
2023-08-20,2,MED,75.0,66.0,,1,1,5,1,0,7,1,0,3,5,50,58,33,0.927,0.3,58.0,58.0,11.0,22.0,28.0,15.0,0.62,0.58,135.0,140.0,1.0,1.0
2023-08-20,2,SURG,75.0,59.375,,2,0,5,1,0,8,0,0,6,2,40,40,16,0.963,0.45,40.0,37.0,0.0,0.0,12.0,15.0,0.325,0.325,74.0,60.0,1.0,0.925
2023-08-20,3,ED,80.5625,58.666666666666664,0.0,2,0,10,0,0,9,0,3,8,4,30,34,54,0.911,1.067,34.0,34.0,23.0,28.0,29.0,31.0,1.6,1.833,239.0,264.0,1.0,1.0
2023-08-20,3,ICU,75.0,50.6,,1,0,4,0,0,5,0,0,2,3,20,23,5,0.944,0.2,23.0,23.0,9.0,8.0,4.0,3.0,0.65,0.4,177.0,159.0,1.0,1.0
2023-08-20,3,MED,75.0,52.625,,2,0,5,1,0,8,0,0,5,3,50,58,40,0.923,0.42,58.0,58.0,19.0,12.0,20.0,25.0,0.62,0.58,187.0,143.0,1.0,1.0
2023-08-20,3,SURG,75.0,54.375,,2,3,3,0,0,8,0,0,5,3,40,46,27,0.936,0.55,46.0,46.0,14.0,7.0,13.0,15.0,0.525,0.525,179.0,195.0,1.0,1.0
2023-08-20,4,ED,74.90833333333333,52.583333333333336,0.0,2,2,8,0,0,11,0,1,5,7,30,34,65,0.948,0.967,33.0,34.0,3.0,35.0,34.0,29.0,1.1,2.0,163.0,258.0,0.971,1.0
2023-08-20,4,ICU,75.0,48.5,,1,2,5,0,1,7,0,0,6,2,20,23,9,0.969,0.15,23.0,23.0,7.0,7.0,5.0,5.0,0.45,0.55,183.0,194.0,1.0,1.0
2023-08-20,4,MED,75.0,68.875,,1,2,4,1,0,8,0,0,4,4,50,58,31,0.924,0.42,58.0,58.0,26.0,13.0,16.0,20.0,0.68,0.5,178.0,169.0,1.0,1.0
2023-08-20,4,SURG,75.0,69.25,,1,1,4,2,0,8,0,0,2,6,40,46,22,0.966,0.65,46.0,42.0,9.0,2.0,12.0,14.0,0.375,0.4,191.0,158.0,1.0,0.913
2023-08-20,5,ED,97.24861111111112,53.25,0.0,1,3,8,0,0,12,0,0,5,7,30,34,51,0.941,1.067,34.0,34.0,42.0,40.0,32.0,33.0,2.333,2.3,323.0,269.0,1.0,1.0
2023-08-20,5,ICU,75.0,23.0,,0,0,1,0,0,1,0,0,0,1,20,23,1,0.952,0.1,23.0,15.0,8.0,0.0,2.0,10.0,0.35,0.15,219.0,7.0,1.0,0.75
2023-08-20,5,MED,75.0,58.25,,2,3,2,1,0,8,0,0,3,5,50,58,23,0.951,0.3,58.0,58.0,9.0,17.0,25.0,26.0,0.52,0.7,181.0,154.0,1.0,1.0
2023-08-20,5,SURG,75.0,52.875,,2,4,2,0,0,8,0,0,3,5,40,46,32,0.939,0.55,46.0,46.0,9.0,12.0,16.0,17.0,0.475,0.575,182.0,162.0,1.0,1.0
2023-08-21,1,ED,59.31111111111111,52.25,0.0,2,4,6,0,0,11,0,1,6,6,30,34,40,0.959,1.1,34.0,34.0,8.0,20.0,34.0,30.0,1.267,1.533,137.0,204.0,1.0,1.0
2023-08-21,1,ICU,75.0,49.375,,1,0,4,3,0,8,0,0,4,4,20,23,11,1.038,0.5,23.0,23.0,6.0,9.0,6.0,4.0,0.5,0.5,176.0,170.0,1.0,1.0
2023-08-21,1,MED,75.0,53.625,,2,1,5,0,0,8,0,0,4,4,50,58,41,1.01,0.46,58.0,58.0,27.0,21.0,16.0,19.0,0.7,0.64,194.0,193.0,1.0,1.0
2023-08-21,1,SURG,75.0,47.75,,0,2,5,1,0,8,0,0,3,5,40,46,21,0.996,0.4,46.0,38.0,19.0,0.0,18.0,28.0,0.775,0.525,220.0,45.0,1.0,0.95
2023-08-21,2,ED,54.96666666666667,55.166666666666664,0.0,4,3,5,0,0,9,0,3,7,5,30,34,61,1.027,1.0,34.0,34.0,34.0,11.0,33.0,33.0,2.1,1.333,239.0,181.0,1.0,1.0
2023-08-21,2,ICU,75.0,53.0,,2,2,1,0,0,5,0,0,2,3,20,20,5,0.984,0.45,23.0,23.0,10.0,9.0,6.0,4.0,0.65,0.5,184.0,147.0,1.0,1.0
2023-08-21,2,MED,75.0,62.125,,1,3,4,0,0,8,0,0,5,3,50,58,47,1.027,0.32,58.0,58.0,26.0,20.0,15.0,19.0,0.66,0.62,272.0,165.0,1.0,1.0
2023-08-21,2,SURG,75.0,48.625,,1,2,5,0,0,8,0,0,2,6,40,46,23,0.99,0.35,38.0,41.0,0.0,1.0,18.0,17.0,0.4,0.525,75.0,94.0,0.95,0.891
2023-08-21,3,ED,110.66250000000001,52.333333333333336,0.0,2,1,9,0,0,12,0,0,5,7,30,34,60,0.967,1.0,34.0,34.0,26.0,21.0,32.0,33.0,1.8,1.667,251.0,200.0,1.0,1.0
2023-08-21,3,ICU,75.0,57.75,,2,2,3,1,0,8,0,0,1,7,20,23,13,1.033,0.15,23.0,23.0,4.0,4.0,4.0,6.0,0.25,0.35,182.0,196.0,1.0,1.0
2023-08-21,3,MED,75.0,47.25,,2,0,5,1,0,7,1,0,4,4,50,58,56,0.999,0.36,58.0,58.0,27.0,24.0,21.0,22.0,0.8,0.76,214.0,267.0,1.0,1.0
2023-08-21,3,SURG,75.0,64.125,,0,1,6,1,0,7,1,0,4,4,40,46,20,1.031,0.45,46.0,46.0,11.0,13.0,22.0,18.0,0.675,0.625,154.0,161.0,1.0,1.0
2023-08-21,4,ED,89.79027777777777,48.583333333333336,0.0,2,4,5,1,0,12,0,0,5,7,30,34,48,0.981,0.9,34.0,34.0,39.0,22.0,29.0,31.0,2.167,1.633,306.0,209.0,1.0,1.0
2023-08-21,4,ICU,75.0,58.0,,0,1,7,0,0,8,0,0,3,5,20,23,17,0.991,0.4,23.0,20.0,9.0,0.0,3.0,7.0,0.45,0.2,202.0,61.0,1.0,1.0
2023-08-21,4,MED,75.0,58.125,,0,0,7,1,0,8,0,0,4,4,50,58,48,0.992,0.46,58.0,58.0,18.0,25.0,21.0,23.0,0.62,0.8,196.0,164.0,1.0,1.0
2023-08-21,4,SURG,75.0,52.375,,2,2,3,1,0,7,1,0,2,6,40,46,30,0.988,0.35,42.0,46.0,2.0,11.0,26.0,13.0,0.55,0.55,138.0,200.0,0.913,1.0
2023-08-21,5,ED,30.175,49.833333333333336,0.0,1,3,7,1,0,10,0,2,6,6,30,34,44,1.073,1.067,34.0,34.0,23.0,31.0,32.0,30.0,1.7,1.9,247.0,223.0,1.0,1.0
2023-08-21,5,ICU,75.0,51.5,,1,2,5,0,0,8,0,0,4,4,20,23,11,1.001,0.2,22.0,21.0,2.0,1.0,2.0,1.0,0.05,0.35,148.0,80.0,0.957,0.913
2023-08-21,5,MED,75.0,63.125,,1,0,5,2,0,8,0,0,5,3,50,58,34,1.0,0.32,58.0,58.0,16.0,27.0,15.0,24.0,0.46,0.86,131.0,188.0,1.0,1.0
2023-08-21,5,SURG,75.0,58.25,,3,0,5,0,0,8,0,0,5,3,40,46,21,1.017,0.475,46.0,46.0,16.0,18.0,22.0,20.0,0.8,0.8,142.0,131.0,1.0,1.0
2023-08-22,1,ED,81.6111111111111,52.666666666666664,0.0,1,3,8,0,0,11,0,1,4,8,30,34,59,0.954,1.0,34.0,34.0,11.0,34.0,33.0,34.0,1.333,2.133,167.0,232.0,1.0,1.0
2023-08-22,1,ICU,75.0,68.625,,2,1,5,0,0,8,0,0,4,4,20,23,13,1.02,0.05,23.0,23.0,4.0,15.0,10.0,4.0,0.55,0.8,112.0,106.0,1.0,1.0
2023-08-22,1,MED,75.0,69.125,,0,1,7,0,0,7,1,0,3,5,50,58,33,1.1,0.44,58.0,58.0,26.0,22.0,23.0,17.0,0.82,0.62,195.0,211.0,1.0,1.0
2023-08-22,1,SURG,75.0,41.25,,0,3,4,1,0,8,0,0,5,3,40,46,19,0.991,0.375,46.0,43.0,11.0,3.0,16.0,18.0,0.525,0.575,125.0,93.0,1.0,0.935
2023-08-22,2,ED,46.333333333333336,56.083333333333336,0.0,3,2,7,0,0,12,0,0,4,8,30,34,53,1.022,1.1,34.0,34.0,35.0,36.0,30.0,34.0,2.033,2.2,229.0,251.0,1.0,1.0
2023-08-22,2,ICU,75.0,52.5,,1,1,5,1,0,8,0,0,6,2,20,23,11,1.0,0.1,19.0,23.0,0.0,5.0,9.0,2.0,0.25,0.2,83.0,160.0,0.95,1.0
2023-08-22,2,MED,75.0,65.5,,0,2,6,0,0,8,0,0,5,3,50,58,40,0.947,0.48,58.0,58.0,39.0,28.0,16.0,18.0,0.94,0.76,191.0,161.0,1.0,1.0
2023-08-22,2,SURG,75.0,53.5,,0,0,7,1,0,7,1,0,6,2,40,46,22,1.031,0.525,46.0,46.0,7.0,10.0,14.0,15.0,0.575,0.6,109.0,150.0,1.0,1.0
2023-08-22,3,ED,74.425,54.666666666666664,0.0,1,3,8,0,0,11,0,1,7,5,30,34,76,0.993,1.1,34.0,34.0,34.0,19.0,30.0,32.0,2.0,1.567,256.0,167.0,1.0,1.0
2023-08-22,3,ICU,75.0,55.5,,1,1,6,0,0,8,0,0,5,3,20,23,14,0.991,0.25,23.0,23.0,13.0,5.0,3.0,6.0,0.65,0.4,170.0,145.0,1.0,1.0
2023-08-22,3,MED,75.0,49.0,,2,1,5,0,0,8,0,0,5,3,50,58,26,1.04,0.16,58.0,58.0,46.0,15.0,18.0,25.0,1.12,0.64,174.0,206.0,1.0,1.0
2023-08-22,3,SURG,75.0,63.375,,2,1,5,0,0,7,1,0,4,4,40,46,19,1.016,0.55,46.0,46.0,8.0,7.0,18.0,16.0,0.5,0.425,148.0,178.0,1.0,1.0
2023-08-22,4,ED,89.7638888888889,51.0,0.0,4,1,3,4,0,10,0,2,7,5,30,34,52,1.014,1.0,34.0,34.0,25.0,21.0,27.0,31.0,1.6,1.6,248.0,233.0,1.0,1.0
2023-08-22,4,ICU,75.0,80.0,,2,0,6,0,0,8,0,0,7,1,20,23,11,1.059,0.15,23.0,23.0,12.0,4.0,8.0,7.0,0.85,0.55,173.0,138.0,1.0,1.0
2023-08-22,4,MED,75.0,67.375,,2,1,3,2,0,7,1,0,3,5,50,58,55,1.021,0.48,58.0,58.0,33.0,14.0,23.0,26.0,0.96,0.64,245.0,137.0,1.0,1.0
2023-08-22,4,SURG,75.0,54.5,,2,0,4,2,0,8,0,0,4,4,40,46,36,1.003,0.625,46.0,37.0,18.0,0.0,14.0,28.0,0.75,0.475,188.0,34.0,1.0,0.925
2023-08-22,5,ED,91.90694444444443,58.083333333333336,0.0,2,1,7,2,0,12,0,0,6,6,30,34,46,1.024,0.933,34.0,34.0,16.0,18.0,32.0,29.0,1.467,1.433,190.0,216.0,1.0,1.0
2023-08-22,5,ICU,75.0,55.0,,1,0,7,0,0,8,0,0,4,4,20,23,8,0.968,0.3,23.0,23.0,9.0,12.0,4.0,1.0,0.55,0.6,179.0,228.0,1.0,1.0
2023-08-22,5,MED,75.0,51.5,,1,0,6,1,0,7,1,0,1,7,50,58,39,1.035,0.4,58.0,58.0,26.0,26.0,16.0,16.0,0.68,0.68,162.0,176.0,1.0,1.0
2023-08-22,5,SURG,75.0,48.5,,2,0,5,1,0,8,0,0,4,4,40,46,20,0.956,0.45,46.0,46.0,8.0,8.0,19.0,18.0,0.525,0.5,124.0,125.0,1.0,1.0
2023-08-23,1,ED,104.25,59.333333333333336,0.0,1,2,9,0,0,11,0,1,4,8,30,34,55,0.927,0.9,34.0,34.0,33.0,31.0,30.0,32.0,1.967,1.967,212.0,289.0,1.0,1.0
2023-08-23,1,ICU,75.0,64.16666666666667,,0,1,4,1,0,6,0,0,5,1,20,20,6,1.025,0.45,23.0,23.0,15.0,17.0,1.0,9.0,0.65,1.15,177.0,229.0,1.0,1.0
2023-08-23,1,MED,75.0,64.75,,2,1,5,0,0,7,1,0,3,5,50,58,14,1.041,0.34,58.0,58.0,19.0,12.0,22.0,18.0,0.66,0.44,167.0,117.0,1.0,1.0
2023-08-23,1,SURG,75.0,55.25,,1,4,2,1,0,7,1,0,3,5,40,46,35,0.98,0.425,46.0,46.0,10.0,9.0,15.0,14.0,0.475,0.5,166.0,121.0,1.0,1.0
2023-08-23,2,ED,78.64999999999999,61.416666666666664,0.0,2,2,8,0,0,11,0,1,4,8,30,34,50,0.991,1.033,34.0,34.0,24.0,31.0,33.0,33.0,1.767,2.0,207.0,221.0,1.0,1.0
2023-08-23,2,ICU,75.0,45.75,,0,1,5,2,0,8,0,0,6,2,20,23,10,1.028,0.15,23.0,23.0,8.0,10.0,2.0,4.0,0.55,0.55,218.0,147.0,1.0,1.0
2023-08-23,2,MED,75.0,56.875,,4,0,3,1,0,7,1,0,6,2,50,58,41,1.019,0.48,58.0,58.0,24.0,18.0,24.0,23.0,0.8,0.66,209.0,206.0,1.0,1.0
2023-08-23,2,SURG,75.0,54.0,,1,2,4,1,0,8,0,0,4,4,40,46,25,0.99,0.45,46.0,46.0,7.0,15.0,21.0,19.0,0.55,0.7,100.0,180.0,1.0,1.0
2023-08-23,3,ED,96.08333333333333,46.5,0.0,1,3,8,0,0,10,0,2,4,8,30,34,65,0.998,1.0,34.0,34.0,47.0,43.0,33.0,30.0,2.533,2.3,347.0,287.0,1.0,1.0
2023-08-23,3,ICU,75.0,52.375,,0,2,5,1,0,8,0,0,6,2,20,23,20,1.049,0.25,23.0,23.0,12.0,6.0,5.0,6.0,0.7,0.45,218.0,148.0,1.0,1.0
2023-08-23,3,MED,75.0,61.5,,2,1,4,1,0,8,0,0,3,5,50,58,34,0.94,0.32,58.0,58.0,26.0,15.0,8.0,22.0,0.52,0.58,138.0,156.0,1.0,1.0
2023-08-23,3,SURG,75.0,67.25,,0,1,5,2,0,6,2,0,4,4,40,40,11,0.984,0.475,43.0,45.0,3.0,5.0,22.0,24.0,0.475,0.575,101.0,129.0,0.935,0.978
2023-08-23,4,ED,66.79166666666667,47.333333333333336,0.0,2,0,9,1,0,11,0,1,6,6,30,34,58,0.982,1.0,34.0,34.0,26.0,32.0,30.0,32.0,1.733,2.0,225.0,214.0,1.0,1.0
2023-08-23,4,ICU,75.0,58.375,,1,0,6,1,0,8,0,0,3,5,20,23,8,1.008,0.2,23.0,23.0,11.0,5.0,3.0,7.0,0.55,0.45,160.0,152.0,1.0,1.0
2023-08-23,4,MED,75.0,65.875,,2,1,4,1,0,8,0,0,7,1,50,58,39,1.016,0.38,58.0,58.0,39.0,18.0,24.0,19.0,1.1,0.58,218.0,180.0,1.0,1.0
2023-08-23,4,SURG,75.0,63.125,,2,1,5,0,0,7,1,0,3,5,40,46,22,1.023,0.675,46.0,44.0,17.0,4.0,25.0,13.0,0.9,0.5,218.0,102.0,1.0,0.957
2023-08-23,5,ED,115.19305555555555,58.416666666666664,0.0,1,1,9,1,0,11,0,1,5,7,30,34,57,0.965,0.833,34.0,34.0,22.0,35.0,28.0,24.0,1.533,1.833,219.0,250.0,1.0,1.0
2023-08-23,5,ICU,75.0,60.375,,3,1,3,1,0,8,0,0,4,4,20,23,10,1.056,0.2,23.0,23.0,5.0,10.0,6.0,6.0,0.4,0.65,123.0,134.0,1.0,1.0
2023-08-23,5,MED,75.0,48.125,,0,0,7,1,0,7,1,0,1,7,50,58,50,0.963,0.52,58.0,58.0,27.0,32.0,20.0,21.0,0.78,0.9,159.0,214.0,1.0,1.0
2023-08-23,5,SURG,75.0,51.25,,1,1,6,0,0,8,0,0,3,5,40,46,27,0.969,0.4,46.0,46.0,8.0,16.0,18.0,13.0,0.5,0.575,202.0,202.0,1.0,1.0
2023-08-24,1,ED,79.75,54.833333333333336,0.0,2,2,8,0,0,11,0,1,6,6,30,34,64,1.014,1.133,34.0,34.0,32.0,41.0,27.0,30.0,1.833,2.233,322.0,290.0,1.0,1.0
2023-08-24,1,ICU,75.0,50.375,,1,1,6,0,0,8,0,0,4,4,20,23,8,1.029,0.15,20.0,23.0,0.0,11.0,9.0,6.0,0.3,0.7,48.0,118.0,1.0,1.0
2023-08-24,1,MED,75.0,50.875,,0,2,6,0,0,7,1,0,3,5,50,58,37,1.024,0.4,55.0,58.0,5.0,31.0,17.0,19.0,0.28,0.84,130.0,186.0,0.948,1.0
2023-08-24,1,SURG,75.0,51.0,,3,1,4,0,0,8,0,0,1,7,40,46,25,0.979,0.6,46.0,43.0,24.0,3.0,17.0,23.0,0.875,0.5,148.0,130.0,1.0,0.935
2023-08-24,2,ED,105.02777777777777,47.833333333333336,0.0,1,1,10,0,0,10,0,2,3,9,30,34,62,0.998,0.967,34.0,34.0,23.0,35.0,31.0,30.0,1.667,2.033,187.0,286.0,1.0,1.0
2023-08-24,2,ICU,75.0,56.375,,1,1,5,1,0,8,0,0,2,6,20,23,8,0.982,0.2,23.0,23.0,10.0,3.0,3.0,5.0,0.5,0.25,164.0,97.0,1.0,1.0
2023-08-24,2,MED,75.0,52.25,,3,0,5,0,0,7,1,0,4,4,50,58,21,1.015,0.3,58.0,58.0,25.0,17.0,24.0,21.0,0.82,0.6,127.0,146.0,1.0,1.0
2023-08-24,2,SURG,75.0,51.5,,0,1,7,0,0,6,2,0,3,5,40,46,26,1.04,0.525,46.0,46.0,13.0,7.0,18.0,20.0,0.625,0.525,121.0,161.0,1.0,1.0
2023-08-24,3,ED,88.11666666666667,51.916666666666664,0.0,5,1,6,0,0,9,0,3,5,7,30,34,56,1.023,1.067,34.0,34.0,39.0,32.0,30.0,30.0,2.167,1.933,296.0,226.0,1.0,1.0
2023-08-24,3,ICU,75.0,59.375,,1,0,6,1,1,7,0,0,5,3,20,23,9,1.043,0.15,23.0,23.0,18.0,5.0,5.0,7.0,1.0,0.45,248.0,135.0,1.0,1.0
2023-08-24,3,MED,75.0,60.0,,0,2,6,0,0,8,0,0,4,4,50,58,40,1.042,0.5,58.0,58.0,26.0,16.0,16.0,17.0,0.68,0.5,194.0,188.0,1.0,1.0
2023-08-24,3,SURG,75.0,48.75,,1,1,5,1,0,7,1,0,4,4,40,46,25,0.984,0.425,35.0,46.0,0.0,8.0,19.0,24.0,0.275,0.675,7.0,129.0,0.875,1.0
2023-08-24,4,ED,70.95277777777778,56.333333333333336,0.0,4,0,8,0,0,10,0,2,7,5,30,34,67,1.02,0.833,34.0,34.0,32.0,28.0,30.0,29.0,1.933,1.767,258.0,199.0,1.0,1.0
2023-08-24,4,ICU,75.0,32.25,,2,1,1,0,0,4,0,0,3,1,20,23,4,0.951,0.2,23.0,23.0,7.0,8.0,4.0,5.0,0.4,0.5,166.0,198.0,1.0,1.0
2023-08-24,4,MED,75.0,61.875,,1,0,6,1,0,8,0,0,6,2,50,58,35,1.023,0.36,58.0,58.0,28.0,10.0,19.0,21.0,0.78,0.46,188.0,120.0,1.0,1.0
2023-08-24,4,SURG,75.0,50.375,,0,4,4,0,0,8,0,0,7,1,40,46,30,1.016,0.425,41.0,43.0,1.0,3.0,27.0,23.0,0.55,0.55,144.0,146.0,0.891,0.935
2023-08-24,5,ED,59.14166666666667,50.0,0.0,0,2,9,1,0,12,0,0,5,7,30,34,41,0.996,1.033,34.0,34.0,36.0,33.0,25.0,30.0,1.9,1.967,330.0,207.0,1.0,1.0
2023-08-24,5,ICU,75.0,50.5,,3,2,3,0,1,7,0,0,3,5,20,23,13,1.003,0.4,23.0,23.0,9.0,11.0,4.0,3.0,0.5,0.55,218.0,174.0,1.0,1.0
2023-08-24,5,MED,75.0,65.375,,0,2,6,0,0,7,1,0,4,4,50,58,39,0.991,0.38,58.0,58.0,32.0,14.0,26.0,22.0,1.0,0.56,188.0,160.0,1.0,1.0
2023-08-24,5,SURG,75.0,59.5,,1,2,4,1,0,8,0,0,5,3,40,40,11,1.017,0.475,46.0,46.0,17.0,12.0,16.0,20.0,0.675,0.65,187.0,160.0,1.0,1.0
2023-08-25,1,ED,101.7375,58.166666666666664,0.0,3,1,8,0,0,11,0,1,7,5,30,34,70,0.972,0.9,34.0,34.0,34.0,27.0,34.0,31.0,2.133,1.8,268.0,224.0,1.0,1.0
2023-08-25,1,ICU,75.0,56.125,,1,1,6,0,0,8,0,0,2,6,20,23,11,1.02,0.3,23.0,23.0,5.0,15.0,3.0,3.0,0.4,0.75,150.0,149.0,1.0,1.0
2023-08-25,1,MED,75.0,53.5,,4,1,3,0,0,8,0,0,5,3,50,58,30,1.012,0.32,58.0,58.0,22.0,31.0,20.0,16.0,0.74,0.78,170.0,139.0,1.0,1.0
2023-08-25,1,SURG,75.0,58.125,,3,0,5,0,0,8,0,0,3,5,40,46,16,0.979,0.5,46.0,44.0,7.0,4.0,24.0,18.0,0.625,0.475,165.0,116.0,1.0,0.957
2023-08-25,2,ED,80.3,55.916666666666664,0.0,2,1,9,0,0,9,0,3,6,6,30,34,60,0.994,1.067,34.0,34.0,37.0,25.0,29.0,32.0,2.067,1.767,291.0,188.0,1.0,1.0
2023-08-25,2,ICU,75.0,38.57142857142857,,1,0,6,0,0,7,0,0,2,5,20,23,7,1.01,0.3,23.0,23.0,7.0,7.0,4.0,6.0,0.4,0.5,166.0,172.0,1.0,1.0
2023-08-25,2,MED,75.0,57.375,,2,1,3,2,0,8,0,0,6,2,50,58,39,0.995,0.32,58.0,58.0,14.0,18.0,15.0,25.0,0.42,0.7,123.0,180.0,1.0,1.0
2023-08-25,2,SURG,75.0,50.625,,2,0,6,0,0,7,1,0,3,5,40,46,18,0.995,0.475,46.0,39.0,11.0,0.0,21.0,23.0,0.65,0.4,137.0,41.0,1.0,0.975
2023-08-25,3,ED,58.82638888888889,51.333333333333336,0.0,2,6,4,0,0,10,0,2,5,7,30,34,43,0.95,1.033,34.0,34.0,28.0,36.0,32.0,30.0,1.867,2.067,227.0,298.0,1.0,1.0
2023-08-25,3,ICU,75.0,48.875,,3,3,2,0,0,8,0,0,2,6,20,23,9,0.987,0.3,23.0,20.0,9.0,0.0,3.0,8.0,0.45,0.25,207.0,61.0,1.0,1.0
2023-08-25,3,MED,75.0,48.0,,4,2,2,0,0,7,1,0,4,4,50,58,36,1.026,0.5,58.0,58.0,23.0,38.0,25.0,19.0,0.8,0.98,169.0,248.0,1.0,1.0
2023-08-25,3,SURG,75.0,48.25,,2,1,5,0,0,7,1,0,4,4,40,46,30,0.955,0.525,43.0,46.0,3.0,14.0,17.0,16.0,0.625,0.6,80.0,118.0,0.935,1.0
2023-08-25,4,ED,85.87222222222222,53.333333333333336,0.0,0,3,9,0,0,10,0,2,6,6,30,34,60,0.936,1.1,34.0,34.0,46.0,33.0,25.0,32.0,2.233,2.033,291.0,270.0,1.0,1.0
2023-08-25,4,ICU,75.0,53.25,,0,3,4,1,0,8,0,0,5,3,20,23,13,1.013,0.3,23.0,23.0,3.0,12.0,4.0,5.0,0.2,0.7,207.0,197.0,1.0,1.0
2023-08-25,4,MED,75.0,67.375,,2,0,6,0,0,7,1,0,3,5,50,58,33,0.987,0.6,58.0,58.0,25.0,17.0,18.0,14.0,0.7,0.46,192.0,103.0,1.0,1.0
2023-08-25,4,SURG,75.0,56.5,,1,3,4,0,0,8,0,0,5,3,40,46,24,1.013,0.45,46.0,46.0,14.0,17.0,17.0,14.0,0.75,0.7,175.0,259.0,1.0,1.0
2023-08-25,5,ED,85.52777777777777,55.083333333333336,0.0,2,2,7,1,0,11,0,1,5,7,30,34,63,1.004,1.033,34.0,34.0,14.0,24.0,31.0,32.0,1.367,1.733,220.0,212.0,1.0,1.0
2023-08-25,5,ICU,75.0,51.125,,1,3,4,0,0,8,0,0,1,7,20,23,8,0.992,0.4,23.0,23.0,8.0,6.0,8.0,9.0,0.65,0.6,206.0,147.0,1.0,1.0
2023-08-25,5,MED,75.0,58.25,,1,2,5,0,0,8,0,0,4,4,50,58,34,1.051,0.38,58.0,58.0,28.0,26.0,19.0,21.0,0.78,0.78,259.0,169.0,1.0,1.0
2023-08-25,5,SURG,75.0,54.25,,1,0,7,0,0,7,1,0,5,3,40,40,20,0.977,0.475,38.0,46.0,0.0,10.0,19.0,15.0,0.275,0.475,46.0,131.0,0.95,1.0
2023-08-26,1,ED,83.18333333333334,57.333333333333336,0.0,3,3,6,0,0,11,0,1,5,7,30,34,60,0.891,1.033,34.0,34.0,47.0,30.0,27.0,34.0,2.333,2.0,331.0,244.0,1.0,1.0
